Date,Open,High,Low,Close,Volume
02-01-1986,0.794812322,0.803451629,0.791356458,0.794812322,7398223
03-01-1986,0.798268058,0.803451774,0.784445359,0.789628804,7653050
06-01-1986,0.789629052,0.789629052,0.779261943,0.786173403,3579096
07-01-1986,0.787901386,0.799996349,0.787901386,0.798268497,5824867
08-01-1986,0.799996286,0.803452152,0.770622752,0.77235055,7256834
09-01-1986,0.768894465,0.768894465,0.742976597,0.760255158,17426925
10-01-1986,0.763711425,0.772350685,0.756800179,0.76889509,13422020
13-01-1986,0.770622643,0.791356862,0.767167049,0.791356862,6821161
14-01-1986,0.791356166,0.791356166,0.782716861,0.784444928,6587706
15-01-1986,0.784445218,0.796540118,0.779261558,0.794812322,11618498
16-01-1986,0.798268203,0.820730269,0.796540406,0.820730269,15034833
17-01-1986,0.822458098,0.839736665,0.815546855,0.832825422,15049629
20-01-1986,0.822457818,0.836280787,0.817274374,0.831097126,7554407
21-01-1986,0.831097254,0.836280916,0.819002297,0.827641606,8016385
22-01-1986,0.82764176,0.846648179,0.825913963,0.832825422,8647700
23-01-1986,0.832825337,0.832825337,0.819002365,0.824186027,12138017
24-01-1986,0.833976865,0.839221886,0.82523498,0.833976865,10122413
27-01-1986,0.842719025,0.847964048,0.83572546,0.846215725,4988046
28-01-1986,0.849712636,0.877686794,0.847964313,0.875938416,12113357
29-01-1986,0.875938358,0.903912514,0.875938358,0.896918893,22852288
30-01-1986,0.89342225,0.896918896,0.875938362,0.881183386,6852398
31-01-1986,0.874190092,0.889925385,0.874190092,0.875938416,14697802
03-02-1986,0.875937858,0.888176441,0.863699275,0.888176441,17262520
04-02-1986,0.895169798,0.902163359,0.882931219,0.898666441,10431494
05-02-1986,0.900415623,0.900415623,0.877686765,0.886428654,9989245
06-02-1986,0.886428294,0.895170235,0.881183053,0.88293165,11273247
07-02-1986,0.881182623,0.9091567,0.875937603,0.898666441,9279015
10-02-1986,0.902163876,0.926641105,0.900415335,0.92314446,16294174
11-02-1986,0.928389121,0.958111525,0.928389121,0.958111525,15567505
12-02-1986,0.954614771,0.963356764,0.949369531,0.958111525,11524787
13-02-1986,0.975595746,0.986086011,0.970350833,0.986086011,21208238
14-02-1986,0.986085225,0.989581977,0.972098326,0.980840206,15643131
18-02-1986,0.982589304,0.989582704,0.975595685,0.982589304,12766044
19-02-1986,0.982589033,1.000072911,0.970350504,0.970350504,10454511
20-02-1986,0.961608276,1.007065955,0.95985968,1.005317688,12795637
21-02-1986,1.010563635,1.021053902,1.000073369,1.001821637,17098115
24-02-1986,1.003569089,1.012310969,0.996575475,0.996575475,6789924
25-02-1986,0.998324315,0.998324315,0.968601908,0.970350504,10553154
26-02-1986,0.973847425,0.989582712,0.972099047,0.987834334,10322987
27-02-1986,0.989582427,1.008814573,0.977343789,1.008814573,11378466
28-02-1986,1.017556872,1.01930525,1.001821583,1.003569961,9711400
03-03-1986,0.989582982,1.003570114,0.987834604,0.998324871,8345195
04-03-1986,1.003570081,1.014060348,0.993079814,1.007066727,10951014
05-03-1986,1.003569089,1.003569089,0.987833594,0.996575475,10202971
06-03-1986,1.007066165,1.017556426,1.000072877,1.014059782,9117898
07-03-1986,1.015808156,1.026298417,1.007066162,1.010563135,8433974
10-03-1986,1.010563667,1.021053934,1.003570047,1.012311935,6857330
11-03-1986,1.010563138,1.019304803,1.003569521,1.014059782,8927189
12-03-1986,1.017556994,1.022802237,1.007066727,1.007066727,11449161
13-03-1986,1.005318372,1.024550526,1.003569994,1.017556906,8868003
14-03-1986,1.019304721,1.024549961,1.014059701,1.024549961,15209102
17-03-1986,1.014059729,1.022801613,1.010563085,1.015808105,9538775
18-03-1986,1.014060002,1.031543884,1.010563357,1.026298642,17098115
19-03-1986,1.035040947,1.064763372,1.033292569,1.063015103,15994957
20-03-1986,1.068259496,1.118962646,1.068259496,1.118962646,13037312
21-03-1986,1.11896309,1.141691999,1.101479204,1.108472824,21865858
24-03-1986,1.115465797,1.13644621,1.115465797,1.125956059,12932093
25-03-1986,1.12770457,1.160923958,1.122459547,1.160923958,11294620
26-03-1986,1.155679245,1.16966638,1.155679245,1.159176111,16055787
27-03-1986,1.164420603,1.171414222,1.150433694,1.160923958,12435590
31-03-1986,1.164420359,1.167917332,1.145188212,1.145188212,11705632
01-04-1986,1.150432944,1.15218132,1.122458816,1.122458816,12149526
02-04-1986,1.12770454,1.160923927,1.125956272,1.157426953,12836738
03-04-1986,1.155678437,1.157426704,1.132949537,1.134697914,12448743
04-04-1986,1.12945243,1.134697449,1.110220292,1.122458816,19235379
07-04-1986,1.104975939,1.113717827,1.08924065,1.104975939,14763564
08-04-1986,1.106723858,1.132949623,1.10497559,1.127704382,16604900
